SG_UF_ESCOLA,NO_MUNICIPIO_ESCOLA,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_CN,NU_MEDIA_CH,NU_MEDIA_LP,NU_MEDIA_MT,NU_MEDIA_RED,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
PB,Bayeux,EEEFM JOAO CAETANO,2,1,34,0.0,17,50.0,503.71,424.38,462.35,403.62,483.53,Grupo 3,73.5,76.47,81.2,13.7,5.1,De 31 a 60 alunos
PB,Bayeux,INSTITUTO DE ENSINO JAIME CAETANO,4,1,25,0.0,14,56.0,533.86,471.94,475.52,428.59,517.14,Grupo 3,41.7,71.43,89.4,8.7,1.9,De 1 a 30 alunos
PB,Bayeux,INSTITUTO AUGUSTO DOS ANJOS,4,1,25,0.0,21,84.0,561.28,469.73,518.44,457.37,602.86,Grupo 3,26.5,80.95,94.1,4.4,1.5,De 1 a 30 alunos
PB,Cabedelo,EEEFM JOSE GUEDES CAVALCANTE,2,1,60,0.0,42,70.0,530.21,444.61,485.75,429.3,511.9,Grupo 2,54.9,71.43,75.7,6.5,17.8,De 31 a 60 alunos
PB,Cabedelo,EEEFM PROFESSOR PEDRO ANIBAL MOURA,2,1,85,0.0,56,65.88,512.14,436.62,480.42,428.1,491.43,Grupo 3,61.8,78.57,71.2,16.8,12.0,De 61 a 90 alunos
PB,João Pessoa,ACADEMIA DE COMERCIO EPITACIO PESSOA,4,1,59,0.0,54,91.53,574.7,492.54,528.34,480.36,592.59,Grupo 3,72.0,74.07,96.8,1.1,2.1,De 31 a 60 alunos
PB,João Pessoa,ANGLO CENTRO DE EDUCACAO LTDA,4,1,76,0.0,73,96.05,577.21,503.64,519.48,492.84,610.41,Grupo 4,54.1,61.64,98.1,1.2,0.7,De 61 a 90 alunos
PB,João Pessoa,CENTRO DE ENSINO DECISAO LTDA,4,1,76,0.0,72,94.74,587.74,494.26,519.78,474.31,647.22,Grupo 4,0.0,29.17,96.3,3.7,0.0,De 61 a 90 alunos
PB,João Pessoa,CENTRO EST EXP DE ENS A SESQUICENTENARIO,2,1,188,1.0,178,94.68,573.36,485.98,522.22,490.64,645.87,Grupo 4,48.4,66.29,95.7,3.8,0.5,Maior que 90 alunos
PB,João Pessoa,CENTRO PROFIS DEP ANTONIO CABRAL,2,1,127,1.0,100,78.74,539.85,457.29,493.73,450.56,546.4,Grupo 3,65.3,65.0,56.6,28.6,14.8,Maior que 90 alunos
PB,João Pessoa,INTERACTIVO SISTEMA DE ENSINO EIREL - MEI,4,1,65,0.0,59,90.77,590.61,529.39,541.15,508.24,669.49,Grupo 4,57.1,42.37,,,,De 61 a 90 alunos
PB,João Pessoa,EVO COLEGIO E CURSO -CRISTO,4,1,27,0.0,26,96.3,576.23,503.7,498.19,464.42,629.23,Grupo 4,46.3,80.77,93.3,6.7,0.0,De 1 a 30 alunos
PB,João Pessoa,COLEGIO NOSSA SENHORA DE LOURDES,4,1,52,0.0,48,92.31,643.14,577.35,571.3,618.64,733.75,Grupo 5,76.3,87.5,98.9,1.1,0.0,De 31 a 60 alunos
PB,João Pessoa,COLEGIO MARISTA PIO X,4,1,137,0.0,127,92.7,628.96,567.59,571.89,621.39,753.86,Grupo 6,60.5,83.46,97.9,2.1,0.0,Maior que 90 alunos
