SG_UF_ESCOLA,NO_MUNICIPIO_ESCOLA,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_MT,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
RO,Porto Velho,CENTRO DE ENSINO CLASSE A,4,1,137,0.0,130,94.89,627.66,Grupo 6,67.5,78.46,96.1,3.9,0.0,Maior que 90 alunos
RO,Porto Velho,CENTRO EDUCACIONAL MOJUCA,4,1,20,1.0,17,85.0,459.72,Grupo 4,58.3,70.59,94.6,5.4,0.0,De 1 a 30 alunos
RO,Porto Velho,CENTRO EDUCACIONAL OBJETIVO,4,1,39,0.0,37,94.87,507.22,Grupo 5,67.7,40.54,90.1,9.9,0.0,De 31 a 60 alunos
RO,Porto Velho,COLEGIO DOM BOSCO,4,1,55,1.0,49,89.09,529.87,Grupo 5,56.0,81.63,88.7,10.5,0.8,De 31 a 60 alunos
RO,Porto Velho,CENTRO EDUCACIONAL OBJETIVO - UNIDADE JARDIM AMERICA,4,1,26,0.0,23,88.46,528.93,Grupo 5,72.7,52.17,84.5,13.1,2.4,De 1 a 30 alunos
RO,Porto Velho,COLEGIO TIRADENTES DA POLICIA MILITAR DO ESTADO DE RONDONIA EEEFM TIRADENTES,2,1,97,0.0,96,98.97,492.85,Grupo 5,53.6,85.42,89.2,10.8,0.0,Maior que 90 alunos
RO,Porto Velho,EEEFM JOSE OTINO DE FREITAS,2,1,44,0.0,38,86.36,456.92,Grupo 4,73.9,63.16,73.9,22.2,3.9,De 31 a 60 alunos
RO,Porto Velho,COLEGIO ADVENTISTA DE PORTO VELHO,4,1,34,0.0,29,85.29,486.22,Grupo 4,46.2,58.62,88.7,9.9,1.4,De 31 a 60 alunos
RO,Porto Velho,EEEFM 4 DE JANEIRO,2,1,75,1.0,59,78.67,417.62,Grupo 3,62.9,64.41,54.9,44.8,0.3,De 61 a 90 alunos
RO,Porto Velho,EEEFM PROFESSORA ANTONIA VIEIRA FROTA,2,2,41,0.0,22,53.66,429.04,Grupo 3,34.6,72.73,75.5,6.5,18.0,De 31 a 60 alunos
RO,Porto Velho,EEEFM BELA VISTA,2,1,24,0.0,21,87.5,411.69,Grupo 3,63.3,76.19,64.9,35.1,0.0,De 1 a 30 alunos
RO,Porto Velho,EEEFM BRASILIA,2,1,33,0.0,24,72.73,446.6,Grupo 4,48.3,79.17,81.6,11.4,7.0,De 31 a 60 alunos
RO,Porto Velho,EEEFM CAP CLAUDIO MANOEL DA COSTA,2,1,28,0.0,19,67.86,428.72,Grupo 3,74.4,78.95,70.8,15.6,13.6,De 1 a 30 alunos
RO,Porto Velho,EEEFM PROFESSOR DANIEL NERI DA SILVA,2,1,72,0.0,57,79.17,438.82,Grupo 3,68.3,78.95,78.7,18.8,2.5,De 61 a 90 alunos
RO,Porto Velho,CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO,4,1,61,0.0,55,90.16,496.47,Grupo 4,62.7,89.09,92.0,7.7,0.3,De 61 a 90 alunos
RO,Porto Velho,EEEFM DR OSVALDO PIANA,2,1,30,0.0,18,60.0,427.48,Grupo 3,66.7,100.0,79.3,5.3,15.4,De 1 a 30 alunos
RO,Porto Velho,EEEFM ESTUDO E TRABALHO,2,1,106,0.0,57,53.77,436.36,Grupo 3,50.8,57.89,61.8,20.8,17.4,Maior que 90 alunos
RO,Porto Velho,EEEFM GOV ARAUJO LIMA,2,1,27,0.0,24,88.89,423.7,Grupo 4,61.7,58.33,73.7,22.8,3.5,De 1 a 30 alunos
RO,Porto Velho,EEEFM GOV PETRONIO BARCELOS,2,1,31,2.0,30,96.77,464.22,Grupo 4,61.5,76.67,72.3,27.7,0.0,De 31 a 60 alunos
RO,Porto Velho,EEEFM JOHN KENNEDY,2,1,28,0.0,25,89.29,455.35,Grupo 4,75.5,44.0,59.9,39.0,1.1,De 1 a 30 alunos
RO,Porto Velho,EEEFM JORGE TEIXEIRA DE OLIVEIRA,2,1,31,0.0,17,54.84,424.42,Grupo 3,64.1,82.35,55.2,24.1,20.7,De 31 a 60 alunos
RO,Porto Velho,EEEFM MURILO BRAGA,2,1,35,0.0,27,77.14,418.15,Grupo 4,60.3,37.04,85.4,5.0,9.6,De 31 a 60 alunos
RO,Porto Velho,EEEFM PROF FLORA CALHEIROS COTRIN,2,1,87,0.0,57,65.52,409.78,Grupo 3,58.0,89.47,62.9,14.7,22.4,De 61 a 90 alunos
RO,Porto Velho,EEEFM RISOLETA NEVES,2,1,95,0.0,70,73.68,428.41,Grupo 3,63.8,55.71,58.5,18.7,22.8,Maior que 90 alunos
RO,Porto Velho,E E E F M SAO LUIZ,2,1,23,4.0,20,86.96,414.95,Grupo 3,46.2,65.0,49.4,49.0,1.6,De 1 a 30 alunos
RO,Porto Velho,EEEFM BARAO DO SOLIMOES,2,1,41,1.0,38,92.68,477.28,Grupo 4,34.3,71.05,82.8,17.2,0.0,De 31 a 60 alunos
RO,Porto Velho,EEEM MAJOR GUAPINDAIA,2,1,274,0.0,223,81.39,445.54,Grupo 3,65.5,39.46,74.4,16.0,9.6,Maior que 90 alunos
RO,Porto Velho,EEEFM MARECHAL CASTELO BRANCO,2,1,67,0.0,62,92.54,458.63,Grupo 4,61.7,70.97,55.6,24.0,20.4,De 61 a 90 alunos
RO,Porto Velho,EEEFM PROF ORLANDO FREIRE,2,1,81,0.0,54,66.67,439.32,Grupo 3,62.6,68.52,66.1,17.5,16.4,De 61 a 90 alunos
RO,Porto Velho,EEEFM PROF EDUARDO LIMA E SILVA,2,1,97,0.0,63,64.95,425.7,Grupo 3,51.5,66.67,63.6,19.7,16.7,Maior que 90 alunos
RO,Porto Velho,EEEFM RIO BRANCO,2,1,41,0.0,35,85.37,425.21,Grupo 4,65.9,60.0,39.5,60.2,0.3,De 31 a 60 alunos
RO,Porto Velho,IEE CARMELA DUTRA,2,1,289,3.0,243,84.08,446.17,Grupo 4,50.6,48.97,86.4,4.4,9.2,Maior que 90 alunos
RO,Porto Velho,INSTITUTO LAURA VICUNA,4,1,24,0.0,24,100.0,489.52,Grupo 5,52.9,79.17,92.6,7.4,0.0,De 1 a 30 alunos
RO,Porto Velho,INSTITUTO MARIA AUXILIADORA,4,1,23,0.0,22,95.65,445.7,Grupo 4,60.5,77.27,91.6,8.4,0.0,De 1 a 30 alunos
RO,Porto Velho,EEEFM GENERAL OSORIO,2,2,39,0.0,20,51.28,385.17,Grupo 2,40.0,90.0,80.9,6.9,12.2,De 31 a 60 alunos
RO,Nova Mamoré,EEEFM CASIMIRO DE ABREU,2,1,75,0.0,45,60.0,427.32,Grupo 3,50.0,62.22,76.5,14.3,9.2,De 61 a 90 alunos
RO,Nova Mamoré,EEEFM PROFESSOR SALOMAO SILVA,2,1,20,0.0,15,75.0,441.43,Grupo 3,46.2,86.67,81.3,16.7,2.0,De 1 a 30 alunos
RO,Buritis,EEEFM BURITI,2,1,149,0.0,97,65.1,435.3,Grupo 3,63.5,78.35,87.2,12.8,0.0,Maior que 90 alunos
RO,Candeias do Jamari,E E E F M CARLOS DRUMMOND DE ANDRADE,2,1,116,0.0,76,65.52,440.66,Grupo 3,54.8,78.95,67.2,12.1,20.7,Maior que 90 alunos
RO,Itapuã do Oeste,EEEFM PAULO FREIRE,2,1,49,0.0,31,63.27,443.39,Grupo 3,62.0,83.87,62.1,20.4,17.5,De 31 a 60 alunos
RO,Costa Marques,EEEFM ANGELINA DOS ANJOS,2,1,81,0.0,45,55.56,399.34,Grupo 2,44.9,82.22,77.5,10.1,12.4,De 61 a 90 alunos
RO,Guajará-Mirim,EEEFM ALKINDAR BRASIL DE AROUCA,2,1,54,0.0,47,87.04,435.35,Grupo 3,47.0,57.45,80.8,19.2,0.0,De 31 a 60 alunos
RO,Guajará-Mirim,EPEFM TOUFIA TANOUS BOUCHABKI,4,1,12,0.0,12,100.0,507.85,Grupo 5,52.4,91.67,92.7,7.3,0.0,De 1 a 30 alunos
RO,Guajará-Mirim,EEEFM IRMA MARIA CELESTE,2,1,50,0.0,39,78.0,425.66,Grupo 3,55.8,84.62,67.8,30.0,2.2,De 31 a 60 alunos
RO,Guajará-Mirim,EEEFM ROCHA LEAL,2,1,78,1.0,48,61.54,415.54,Grupo 3,31.4,64.58,89.2,2.7,8.1,De 61 a 90 alunos
RO,Guajará-Mirim,EEEFM SIMON BOLIVAR,2,1,59,0.0,51,86.44,421.68,Grupo 3,56.2,62.75,74.7,15.0,10.3,De 31 a 60 alunos
RO,Guajará-Mirim,IEE PAULO SALDANHA,2,1,52,0.0,48,92.31,427.23,Grupo 3,40.0,56.25,88.1,8.7,3.2,De 31 a 60 alunos
RO,Guajará-Mirim,CENTRO EDUCACIONAL INOVACAO,4,1,11,0.0,10,90.91,464.98,Grupo 4,30.8,70.0,100.0,0.0,0.0,De 1 a 30 alunos
RO,Ariquemes,EEEFM CORA CORALINA,2,1,95,0.0,52,54.74,427.6,Grupo 3,55.7,75.0,54.5,32.4,13.1,Maior que 90 alunos
RO,Ariquemes,EEEFM ANISIO TEIXEIRA,2,1,60,0.0,30,50.0,436.6,Grupo 3,57.3,63.33,72.8,12.0,15.2,De 31 a 60 alunos
RO,Ariquemes,COLEGIO DINAMICO EDUCACAO BASICA,4,1,48,1.0,39,81.25,590.97,Grupo 5,65.4,71.79,94.8,4.1,1.1,De 31 a 60 alunos
RO,Ariquemes,EEEFM HEITOR VILLA LOBOS,2,1,259,2.0,211,81.47,459.81,Grupo 3,63.3,70.14,73.7,18.6,7.7,Maior que 90 alunos
RO,Ariquemes,EEEFM RICARDO CANTANHEDE,2,1,367,5.0,202,55.04,435.18,Grupo 3,53.5,85.15,78.8,10.7,10.5,Maior que 90 alunos
RO,Machadinho D'Oeste,EEEFM ALBERTO NEPOMUCENO,2,1,39,0.0,29,74.36,445.21,Grupo 3,36.0,0.0,88.9,10.5,0.6,De 31 a 60 alunos
RO,Machadinho D'Oeste,EEEFM JOAQUIM PEREIRA DA ROCHA,2,1,102,0.0,61,59.8,441.78,Grupo 3,48.9,67.21,70.2,17.6,12.2,Maior que 90 alunos
RO,Rio Crespo,EEEFM FRANCISCO MIGNONE,2,1,40,0.0,29,72.5,421.4,Grupo 3,51.2,75.86,73.4,13.7,12.9,De 31 a 60 alunos
RO,Cacaulândia,EEEFM FREI HENRIQUE DE COIMBRA,2,1,55,0.0,32,58.18,420.88,Grupo 3,58.5,100.0,61.8,28.1,10.1,De 31 a 60 alunos
RO,Monte Negro,EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA,2,1,138,2.0,85,61.59,440.33,Grupo 3,65.6,84.71,85.2,9.0,5.8,Maior que 90 alunos
RO,Jaru,EEEFM CAPITAO SILVIO DE FARIAS,2,1,167,2.0,119,71.26,449.43,Grupo 3,57.4,68.91,85.4,9.0,5.6,Maior que 90 alunos
RO,Jaru,EEEFM PROF DAYSE MARA DE OLIVEIRA MARTINS,2,1,39,0.0,25,64.1,445.97,Grupo 3,49.6,80.0,65.3,18.5,16.2,De 31 a 60 alunos
RO,Jaru,EEEFM RAIMUNDO CANTANHEDE,2,1,37,0.0,24,64.86,448.24,Grupo 3,54.7,50.0,60.2,19.9,19.9,De 31 a 60 alunos
RO,Jaru,EEEFM PLACIDO DE CASTRO,2,1,164,2.0,103,62.8,445.3,Grupo 3,45.1,66.99,79.0,13.6,7.4,Maior que 90 alunos
RO,Ji-Paraná,CENTRO EDUCACIONAL SAO PAULO - CEDUSP,4,1,26,0.0,19,73.08,485.22,Grupo 5,76.9,68.42,98.4,1.6,0.0,De 1 a 30 alunos
RO,Ji-Paraná,COLEGIO ADVENTISTA DE JI-PARANA,4,1,28,0.0,21,75.0,522.86,Grupo 5,38.5,0.0,95.4,4.6,0.0,De 1 a 30 alunos
RO,Ji-Paraná,EEEFM JANETE CLAIR,2,1,53,0.0,30,56.6,450.59,Grupo 3,53.1,80.0,91.0,2.0,7.0,De 31 a 60 alunos
RO,Ji-Paraná,EEEFM MARCOS BISPO SILVA,2,1,102,0.0,65,63.73,454.46,Grupo 3,58.8,72.31,70.4,13.5,16.1,Maior que 90 alunos
RO,Ji-Paraná,EEEFM RIO URUPA,2,1,29,0.0,22,75.86,438.0,Grupo 3,50.0,40.91,61.1,15.3,23.6,De 1 a 30 alunos
RO,Ji-Paraná,EEEFM TUPA,2,2,19,0.0,14,73.68,455.07,Grupo 3,54.5,78.57,89.7,3.4,6.9,De 1 a 30 alunos
RO,Ji-Paraná,EEEFM ALUIZIO FERREIRA,2,1,133,2.0,83,62.41,426.2,Grupo 3,60.9,71.08,75.2,10.6,14.2,Maior que 90 alunos
RO,Ji-Paraná,EEEFM CEL JORGE TEIXEIRA DE OLIVEIRA,2,2,32,1.0,28,87.5,432.43,Grupo 3,47.2,82.14,92.9,3.6,3.5,De 31 a 60 alunos
RO,Ji-Paraná,EEEFM GONCALVES DIAS,2,1,94,0.0,80,85.11,452.38,Grupo 4,65.4,66.25,87.4,11.7,0.9,Maior que 90 alunos
RO,Ji-Paraná,EEEFM JULIO GUERRA,2,1,87,2.0,63,72.41,446.87,Grupo 3,43.0,61.9,65.5,21.4,13.1,De 61 a 90 alunos
RO,Ji-Paraná,EEEFM LAURO BENNO PREDIGER,2,1,23,0.0,15,65.22,440.64,Grupo 3,50.0,60.0,80.5,9.7,9.8,De 1 a 30 alunos
RO,Ji-Paraná,EEEFM PROF JOSE FRANCISCO DOS SANTOS,2,1,48,0.0,33,68.75,445.38,Grupo 3,56.2,48.48,67.8,8.7,23.5,De 31 a 60 alunos
RO,Ouro Preto do Oeste,COLEGIO UNEOURO,4,1,12,0.0,11,91.67,500.13,Grupo 5,46.2,90.91,100.0,0.0,0.0,De 1 a 30 alunos
RO,Ouro Preto do Oeste,EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA,2,1,22,0.0,17,77.27,431.7,Grupo 3,44.4,76.47,81.5,18.5,0.0,De 1 a 30 alunos
RO,Nova União,EEEFM MARIA GORETTI,2,1,68,0.0,37,54.41,433.4,Grupo 3,42.3,81.08,77.1,13.5,9.4,De 61 a 90 alunos
RO,Ouro Preto do Oeste,EEEFM MONTEIRO LOBATO,2,1,25,0.0,21,84.0,433.15,Grupo 3,56.4,42.86,84.3,12.4,3.3,De 1 a 30 alunos
RO,Teixeirópolis,EEEFM PIONEIRA,2,1,36,0.0,21,58.33,427.84,Grupo 3,16.4,90.48,77.2,12.0,10.8,De 31 a 60 alunos
RO,Ouro Preto do Oeste,EEEFM 28 DE NOVEMBRO,2,1,97,1.0,67,69.07,473.7,Grupo 3,70.0,62.69,56.0,26.6,17.4,Maior que 90 alunos
RO,Ouro Preto do Oeste,EEEFM JOAQUIM DE LIMA AVELINO,2,1,76,2.0,58,76.32,465.41,Grupo 3,72.0,75.86,78.0,16.0,6.0,De 61 a 90 alunos
RO,Presidente Médici,EEEFM CARLOS DRUMOND DE ANDRADE,2,1,48,0.0,35,72.92,435.1,Grupo 3,64.1,45.71,88.7,10.7,0.6,De 31 a 60 alunos
RO,Presidente Médici,EEEFM DONA BENTA,2,2,17,0.0,14,82.35,462.58,Grupo 2,32.7,71.43,83.6,6.6,9.8,De 1 a 30 alunos
RO,Presidente Médici,EEEFM PROF PAULO FREIRE,2,1,92,0.0,74,80.43,447.81,Grupo 3,43.9,82.43,69.0,31.0,0.0,Maior que 90 alunos
RO,Presidente Médici,EEEFM PRESIDENTE EMILIO GARRASTAZU MEDICI,2,1,58,0.0,48,82.76,449.61,Grupo 3,50.0,79.17,87.6,12.4,0.0,De 31 a 60 alunos
RO,Mirante da Serra,INSTITUTO ADVENTISTA DA AMAZONIA OCIDENTAL,4,2,32,0.0,28,87.5,501.14,Grupo 3,50.0,57.14,96.2,3.8,0.0,De 31 a 60 alunos
RO,Urupá,EEEFM ALTAMIR BILLY SOARES,2,1,104,0.0,68,65.38,440.1,Grupo 3,49.0,79.41,83.1,10.0,6.9,Maior que 90 alunos
RO,Vale do Paraíso,EEEFM TUBARAO,2,1,76,0.0,44,57.89,470.43,Grupo 3,35.3,86.36,79.5,10.5,10.0,De 61 a 90 alunos
RO,Nova Brasilândia D'Oeste,EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA,2,1,176,1.0,117,66.48,465.78,Grupo 2,63.0,89.74,62.6,16.3,21.1,Maior que 90 alunos
RO,Alvorada D'Oeste,EEEFM JOAQUIM XAVIER DE OLIVEIRA,2,1,25,0.0,16,64.0,424.29,Grupo 3,61.5,68.75,91.7,7.1,1.2,De 1 a 30 alunos
RO,Seringueiras,EEEFM OSWALDO PIANA,2,1,129,1.0,65,50.39,450.31,Grupo 3,34.9,83.08,89.2,10.8,0.0,Maior que 90 alunos
RO,Alto Alegre dos Parecis,EEEFM ARTUR DA COSTA E SILVA,2,1,129,0.0,85,65.89,438.2,Grupo 3,42.4,90.59,86.0,5.4,8.6,Maior que 90 alunos
RO,Alta Floresta D'Oeste,EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA,2,1,72,2.0,49,68.06,438.99,Grupo 3,54.5,69.39,89.9,3.7,6.4,De 61 a 90 alunos
RO,Alta Floresta D'Oeste,EEEFM PADRE EZEQUIEL RAMIN,2,1,175,0.0,102,58.29,438.05,Grupo 3,47.7,88.24,83.6,3.1,13.3,Maior que 90 alunos
RO,Cacoal,CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS,4,1,37,0.0,34,91.89,510.32,Grupo 3,53.1,100.0,88.4,11.6,0.0,De 31 a 60 alunos
RO,Cacoal,EEEFM CARLOS DRUMMOND DE ANDRADE,2,1,144,0.0,91,63.19,431.08,Grupo 3,58.7,71.43,78.9,4.2,16.9,Maior que 90 alunos
RO,Cacoal,EEEFM CORA CORALINA,2,1,232,3.0,198,85.34,487.93,Grupo 3,63.0,70.71,82.3,12.7,5.0,Maior que 90 alunos
RO,Cacoal,ESCOLA DANIEL BERG,4,1,75,1.0,67,89.33,539.32,Grupo 4,58.8,64.18,93.1,5.4,1.5,De 61 a 90 alunos
RO,Cacoal,EEBP ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI,4,1,52,0.0,50,96.15,495.67,Grupo 3,46.2,100.0,95.2,4.8,0.0,De 31 a 60 alunos
RO,Cacoal,EEEFM CLODOALDO NUNES DE ALMEIDA,2,1,303,7.0,158,52.15,432.19,Grupo 3,55.3,39.24,77.9,14.6,7.5,Maior que 90 alunos
RO,Cacoal,ESCOLA DE ENSINO FUNDAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN,4,2,25,0.0,14,56.0,434.24,Grupo 3,33.3,100.0,100.0,0.0,0.0,De 1 a 30 alunos
RO,Cacoal,EEEFM CELSO FERREIRA DA CUNHA,2,1,27,1.0,21,77.78,422.99,Grupo 3,58.3,80.95,76.7,9.3,14.0,De 1 a 30 alunos
RO,Espigão D'Oeste,EEEFM JEAN PIAGET,2,1,58,1.0,41,70.69,448.41,Grupo 3,55.4,65.85,81.1,18.9,0.0,De 31 a 60 alunos
RO,Espigão D'Oeste,EEEFM 7 DE SETEMBRO,2,1,264,4.0,188,71.21,458.1,Grupo 3,57.0,81.91,70.2,11.9,17.9,Maior que 90 alunos
RO,Rolim de Moura,EEEFM CARLOS DRUMOND DE ANDRADE,2,1,76,1.0,52,68.42,431.43,Grupo 3,34.3,53.85,69.5,3.8,26.7,De 61 a 90 alunos
RO,Rolim de Moura,EEEFM JOSE ROSALES DOS SANTOS,2,1,28,1.0,16,57.14,467.33,Grupo 3,51.9,43.75,90.5,9.5,0.0,De 1 a 30 alunos
RO,Rolim de Moura,EEEFM MARIA DO CARMO DE OLIVEIRA RABELO,2,1,26,1.0,14,53.85,445.72,Grupo 3,46.2,71.43,82.1,14.3,3.6,De 1 a 30 alunos
RO,Rolim de Moura,EEEFM NILSON SILVA,2,1,39,3.0,27,69.23,450.58,Grupo 3,42.3,70.37,83.7,16.3,0.0,De 31 a 60 alunos
RO,Rolim de Moura,EEEFM PRISCILA RODRIGUES CHAGAS,2,1,35,0.0,27,77.14,419.14,Grupo 3,47.4,81.48,71.4,16.7,11.9,De 31 a 60 alunos
RO,Rolim de Moura,EEEFM CANDIDO PORTINARI,2,1,97,2.0,85,87.63,429.49,Grupo 3,62.2,67.06,89.0,7.6,3.4,Maior que 90 alunos
RO,Rolim de Moura,EEEFM CEL ALUIZIO PINHEIRO FERREIRA,2,1,87,1.0,78,89.66,467.78,Grupo 4,49.7,48.72,75.4,16.9,7.7,De 61 a 90 alunos
RO,Rolim de Moura,EEEFM TANCREDO DE ALMEIDA NEVES,2,1,106,1.0,77,72.64,437.83,Grupo 3,59.0,75.32,58.9,26.2,14.9,Maior que 90 alunos
RO,Santa Luzia D'Oeste,EEEFM JUSCELINO KUBITSCHEK,2,1,86,2.0,65,75.58,445.25,Grupo 3,53.5,92.31,96.0,4.0,0.0,De 61 a 90 alunos
RO,Novo Horizonte do Oeste,EEEFM AMERICO BRASILIENSE DE ALMEIDA E MELO,2,2,50,0.0,28,56.0,421.28,Grupo 3,57.1,85.71,84.6,10.1,5.3,De 31 a 60 alunos
RO,Novo Horizonte do Oeste,ESCOLA FAMILIA AGRICOLA CHICO MENDES,4,2,47,0.0,24,51.06,445.17,Grupo 2,43.1,83.33,96.3,2.9,0.8,De 31 a 60 alunos
RO,Novo Horizonte do Oeste,EEEFM MARECHAL CANDIDO RONDON,2,1,52,0.0,34,65.38,477.8,Grupo 3,57.3,91.18,78.2,21.8,0.0,De 31 a 60 alunos
RO,Castanheiras,EEEFM FRANCISCA JULIA DA SILVA,2,1,34,0.0,22,64.71,419.44,Grupo 2,31.5,90.91,90.5,0.0,9.5,De 31 a 60 alunos
RO,Ministro Andreazza,EEEFM NILO COELHO,2,1,74,0.0,58,78.38,442.93,Grupo 3,50.0,93.1,93.3,1.1,5.6,De 61 a 90 alunos
RO,Pimenta Bueno,CENTRO EDUCACIONAL PROFESSOR PAULO FREIRE,4,1,32,4.0,30,93.75,528.46,Grupo 4,53.8,96.67,100.0,0.0,0.0,De 31 a 60 alunos
RO,Primavera de Rondônia,EEEFM ESTACIO DE SA,2,2,14,0.0,10,71.43,394.47,Grupo 3,39.5,90.0,93.6,2.1,4.3,De 1 a 30 alunos
RO,Pimenta Bueno,EEEFM MARECHAL CORDEIRO DE FARIAS,2,1,189,8.0,123,65.08,432.85,Grupo 3,59.9,76.42,82.0,5.2,12.8,Maior que 90 alunos
RO,Pimenta Bueno,EEEFM RAIMUNDO EUCLIDES BARBOSA,2,1,135,0.0,87,64.44,461.94,Grupo 3,59.2,81.61,78.0,11.5,10.5,Maior que 90 alunos
RO,Vilhena,CENTRO EDUCACIONAL ISOLINA RUTTMANN,4,1,62,0.0,55,88.71,525.71,Grupo 4,61.5,85.45,95.7,4.3,0.0,De 61 a 90 alunos
RO,Vilhena,EEEFM MACHADO DE ASSIS,2,1,15,0.0,10,66.67,423.91,Grupo 3,48.6,60.0,93.8,6.2,0.0,De 1 a 30 alunos
RO,Vilhena,E E E F M MARIA ARLETE TOLEDO,2,1,124,1.0,81,65.32,435.96,Grupo 3,53.5,53.09,68.5,11.4,20.1,Maior que 90 alunos
RO,Vilhena,EPEB STA LUCIA FILIPPINI,4,1,22,0.0,20,90.91,549.59,Grupo 4,39.5,85.0,96.3,3.7,0.0,De 1 a 30 alunos
RO,Vilhena,EEEFM ALVARES DE AZEVEDO,2,1,177,6.0,144,81.36,455.67,Grupo 4,72.2,48.61,85.6,5.0,9.4,Maior que 90 alunos
RO,Vilhena,EEEFM MARECHAL RONDON,2,1,118,3.0,70,59.32,439.49,Grupo 3,56.2,41.43,76.9,23.1,0.0,Maior que 90 alunos
RO,Vilhena,EEEFM ZILDA DA FROTA UCHOA,2,1,97,3.0,68,70.1,451.34,Grupo 3,70.9,58.82,59.3,40.7,0.0,Maior que 90 alunos
RO,Cabixi,EEEFM JOSE DE ANCHIETA,2,1,71,0.0,40,56.34,432.68,Grupo 3,42.2,92.5,78.2,10.4,11.4,De 61 a 90 alunos
RO,Cerejeiras,EEEFM TANCREDO DE ALMEIDA NEVES,2,1,139,0.0,100,71.94,448.01,Grupo 3,58.7,82.0,72.8,21.5,5.7,Maior que 90 alunos
RO,Pimenteiras do Oeste,EEEFM INACIO DE CASTRO,2,1,17,0.0,11,64.71,397.33,Grupo 3,53.8,81.82,86.7,10.8,2.5,De 1 a 30 alunos
RO,Colorado do Oeste,EEEFM PAULO DE ASSIS RIBEIRO,2,1,106,0.0,81,76.42,443.64,Grupo 4,59.3,76.54,90.1,6.9,3.0,Maior que 90 alunos
RO,Corumbiara,EEEFM MARECHAL RONDON,2,2,23,0.0,17,73.91,446.59,Grupo 3,50.0,76.47,80.9,7.4,11.7,De 1 a 30 alunos
RO,Corumbiara,E E E F M DOUTOR OSWALDO PIANA,2,1,68,1.0,44,64.71,425.87,Grupo 3,54.2,84.09,78.5,11.0,10.5,De 61 a 90 alunos
RO,Colorado do Oeste,IFRO - CAMPUS COLORADO DO OESTE,1,2,132,2.0,123,93.18,524.56,Grupo 3,85.8,99.19,86.5,13.5,0.0,Maior que 90 alunos
RO,Porto Velho,CENTRO DE ENSINO MINEIRO,4,1,28,0.0,24,85.71,514.28,Grupo 5,64.3,66.67,95.4,4.6,0.0,De 1 a 30 alunos
RO,Porto Velho,EEEFM ULISSES GUIMARAES,2,1,68,0.0,37,54.41,416.94,Grupo 3,53.1,81.08,67.1,4.0,28.9,De 61 a 90 alunos
RO,Espigão D'Oeste,ESCOLA MONTEIRO LOBATO,4,1,27,0.0,25,92.59,550.93,Grupo 4,39.5,60.0,98.7,1.3,0.0,De 1 a 30 alunos
RO,Jaru,COOPERATIVA DE PROFISSIONAIS EM EDUCACAO,4,1,14,0.0,12,85.71,454.13,Grupo 5,43.6,91.67,100.0,0.0,0.0,De 1 a 30 alunos
RO,Porto Velho,EEEFM JAYME PEIXOTO DE ALENCAR,2,2,57,0.0,39,68.42,437.22,Grupo 3,54.3,74.36,84.1,9.5,6.4,De 31 a 60 alunos
RO,Porto Velho,EPEFM TERRA NOVA,4,1,41,0.0,39,95.12,468.38,Grupo 5,74.4,43.59,83.3,15.7,1.0,De 31 a 60 alunos
RO,Porto Velho,EEEB PROF JOAO BENTO DA COSTA,2,1,662,0.0,618,93.35,484.05,Grupo 3,60.0,59.71,70.5,18.1,11.4,Maior que 90 alunos
RO,Vilhena,COOPERATIVA EDUCACIONAL DE VILHENA,4,1,20,0.0,17,85.0,561.27,Grupo 5,53.8,70.59,98.1,1.9,0.0,De 1 a 30 alunos
RO,Porto Velho,COLEGIO CLASSE A,4,1,42,0.0,42,100.0,602.39,Grupo 5,75.0,90.48,90.7,9.3,0.0,De 31 a 60 alunos
RO,Vilhena,COLEGIO PROFESSOR VANKS,4,1,45,0.0,36,80.0,523.04,Grupo 5,37.5,52.78,99.1,0.9,0.0,De 31 a 60 alunos
RO,Rolim de Moura,COLEGIO CLARICE LISPECTOR LTDA,4,1,17,0.0,17,100.0,550.17,Grupo 5,46.2,70.59,100.0,0.0,0.0,De 1 a 30 alunos
RO,Cacoal,EEEM JOSINO BRITO,2,1,149,1.0,116,77.85,461.4,Grupo 3,63.9,71.55,76.3,11.7,12.0,Maior que 90 alunos
RO,Candeias do Jamari,EEEFM ALBINO BUTTNER,2,1,40,0.0,21,52.5,416.75,Grupo 3,55.2,76.19,80.8,15.8,3.4,De 31 a 60 alunos
