SG_UF_ESCOLA,NO_MUNICIPIO_ESCOLA,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_MT,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
MS,Campo Grande,CENTRO DE ENS NOSSA SENHORA AUXILIADORA,4,1,61,0.0,59,96.72,536.35,Grupo 5,81.0,61.02,86.2,13.8,0.0,De 61 a 90 alunos
MS,Campo Grande,COLEGIO OSWALDO TOGNINI,4,1,45,0.0,40,88.89,550.06,Grupo 5,75.7,75.0,97.3,2.7,0.0,De 31 a 60 alunos
MS,Campo Grande,MACE - EEIEFM PEDRO CHAVES DOS SANTOS,4,1,107,0.0,103,96.26,640.75,Grupo 6,63.0,66.02,94.5,5.2,0.3,Maior que 90 alunos
MS,Campo Grande,COLEGIO PROFª MARIA LAGO BARCELLOS,4,1,48,0.0,45,93.75,535.57,Grupo 5,78.3,66.67,92.8,7.2,0.0,De 31 a 60 alunos
MS,Campo Grande,COLEGIO RAUL SANS DE MATOS,4,1,74,0.0,68,91.89,550.4,Grupo 5,70.9,52.94,99.2,0.8,0.0,De 61 a 90 alunos
MS,Campo Grande,EE PROFª MARIA RITA DE CASSIA PONTES TEIXEIRA,2,1,77,0.0,57,74.03,477.38,Grupo 4,79.8,68.42,67.4,18.9,13.7,De 61 a 90 alunos
MS,Campo Grande,EE PROFª ZELIA QUEVEDO CHAVES,2,1,45,1.0,30,66.67,469.36,Grupo 4,65.8,63.33,58.7,33.6,7.7,De 31 a 60 alunos
MS,Campo Grande,COLEGIO MARIA MONTESSORI,4,1,27,1.0,25,92.59,657.65,Grupo 6,85.9,84.0,95.7,4.3,0.0,De 1 a 30 alunos
MS,Campo Grande,COLEGIO STATUS - JARDIM PAULISTA,4,1,39,1.0,35,89.74,556.55,Grupo 5,77.8,85.71,95.0,5.0,0.0,De 31 a 60 alunos
MS,Corguinho,EE JOSE ALVES QUITO,2,1,38,0.0,19,50.0,507.43,Grupo 3,45.1,94.74,73.7,24.1,2.2,De 31 a 60 alunos
MS,Jaraguari,EE JOSE SERAFIM RIBEIRO,2,1,29,0.0,17,58.62,450.98,Grupo 3,59.5,82.35,90.2,7.6,2.2,De 1 a 30 alunos
MS,Rio Negro,EE LEONTINO ALVES DE OLIVEIRA,2,1,61,1.0,31,50.82,417.59,Grupo 3,61.5,93.55,72.7,5.6,21.7,De 61 a 90 alunos
MS,Rochedo,EE JOSE ALVES RIBEIRO,2,1,29,0.0,19,65.52,464.91,Grupo 4,53.4,78.95,73.0,27.0,0.0,De 1 a 30 alunos
MS,Sidrolândia,EE PROFª CATARINA DE ABREU,2,1,98,1.0,51,52.04,422.73,Grupo 3,70.2,66.67,71.6,18.2,10.2,Maior que 90 alunos
MS,Sidrolândia,EE SIDRONIO ANTUNES DE ANDRADE,2,1,228,1.0,160,70.18,450.94,Grupo 3,72.3,84.38,70.9,13.1,16.0,Maior que 90 alunos
MS,Cassilândia,EE RUI BARBOSA,2,1,47,1.0,25,53.19,435.61,Grupo 3,71.6,56.0,67.9,32.1,0.0,De 31 a 60 alunos
MS,Cassilândia,EE SAO JOSE,2,1,82,0.0,58,70.73,445.29,Grupo 4,83.8,75.86,92.6,7.0,0.4,De 61 a 90 alunos
MS,Cassilândia,COLEGIO INTELECTUS,4,1,11,0.0,11,100.0,518.86,Grupo 4,50.0,63.64,100.0,0.0,0.0,De 1 a 30 alunos
MS,Chapadão do Sul,CEPE - CENTRO POSITIVO DE ENSINO,4,1,12,0.0,12,100.0,469.71,Grupo 5,38.5,50.0,95.1,2.4,2.5,De 1 a 30 alunos
MS,Chapadão do Sul,EE AUGUSTO KRUG NETTO,2,1,94,1.0,61,64.89,467.62,Grupo 3,81.3,65.57,69.4,23.0,7.6,Maior que 90 alunos
MS,Costa Rica,EE SANTOS DUMONT,2,1,90,1.0,58,64.44,459.99,Grupo 4,58.3,74.14,88.0,11.7,0.3,De 61 a 90 alunos
MS,Aparecida do Taboado,EE ERNESTO RODRIGUES,2,1,119,0.0,75,63.03,466.29,Grupo 4,67.9,69.33,82.2,4.8,13.0,Maior que 90 alunos
MS,Aparecida do Taboado,EE GEORGINA DE OLIVEIRA ROCHA,2,1,53,1.0,27,50.94,441.75,Grupo 3,56.4,77.78,84.1,9.1,6.8,De 31 a 60 alunos
